nombre,pos,rank_pos,edad,proj_mercado,g_proj,pg,eg,total_v2,vbd2,espn_id
Kenny Pickett,QB,49,28,12.1,17.0,0.71,12.6,9.0,-166.8,4240703
Riley Leonard,QB,50,24,12.2,17.0,0.71,12.6,9.0,-166.8,4683423
Jack Cochrane,LB,87,27,61.0,17.0,3.59,12.2,43.9,-166.8,4249766
Tyrod Taylor,QB,51,37,12.0,17.0,0.7,12.6,8.9,-166.9,14163
Sam Howell,QB,53,26,11.7,17.0,0.69,12.6,8.7,-167.1,4426875
Trey Lance,QB,54,26,11.4,17.0,0.67,12.6,8.5,-167.3,4383351
Tyler Huntley,QB,57,28,10.9,17.0,0.64,12.6,8.1,-167.7,4035671
Kyle Allen,QB,58,30,10.5,17.0,0.62,12.6,7.8,-168.0,3115293
Kendal Daniels,LB,88,24,59.3,17.0,3.49,12.2,42.7,-168.0,4595343
Davis Mills,QB,59,28,10.4,17.0,0.61,12.6,7.8,-168.1,4242546
Mitchell Trubisky,QB,60,32,10.4,17.0,0.61,12.6,7.7,-168.1,3039707
Drew Lock,QB,61,30,10.3,17.0,0.6,12.6,7.6,-168.2,3924327
Gardner Minshew II,QB,62,30,9.1,15.0,0.6,12.6,7.6,-168.2,4038524
D'Anthony Bell,S,107,30,24.0,17.0,1.41,13.6,19.2,-168.2,4608386
Jakobe Thomas,S,108,23,23.9,17.0,1.4,13.6,19.1,-168.4,4710865
Johnathan Baldwin II,S,109,23,23.8,17.0,1.4,13.6,19.1,-168.4,4709980
Rayshawn Jenkins,S,110,32,23.6,17.0,1.39,13.6,18.8,-168.5,2969961
Quinn Ewers,QB,64,23,9.6,17.0,0.56,12.6,7.1,-168.7,4889929
Elijah Hicks,S,113,27,5.0,4.0,1.25,13.6,17.0,-170.4,4242402
Wade Woodaz,LB,89,22,55.7,17.0,3.28,12.2,40.1,-170.6,4837286
D'Marco Jackson,LB,90,28,55.4,17.0,3.26,12.2,39.8,-170.8,4241007
Micah McFadden,LB,91,26,54.4,17.0,3.2,12.2,39.2,-171.5,4371961
Hunter Wohler,S,114,23,19.0,17.0,1.12,13.6,15.2,-172.2,4432789
Avonte Maddox,S,115,30,18.6,17.0,1.1,13.6,14.9,-172.4,3123938
Ty Simpson,QB,44,24,12.7,17.0,0.75,13.3,9.9,-175.6,4685522
Jack Kiser,LB,92,26,48.7,17.0,2.86,12.2,35.0,-175.7,4427716
Jaylen Reed,S,116,23,14.1,17.0,0.83,13.6,11.3,-176.1,4432758
Ashtyn Davis,S,117,30,13.9,17.0,0.82,13.6,11.1,-176.3,3858271
Jeffrey Bassa,LB,93,24,47.4,17.0,2.79,12.2,34.1,-176.5,4602389
Bryce Boettcher,LB,94,24,46.8,17.0,2.75,12.2,33.6,-177.0,5088571
Dalton Johnson,S,120,23,11.9,17.0,0.7,13.6,9.5,-177.9,4682488
Cole Wisniewski,S,121,24,11.7,17.0,0.69,13.6,9.4,-178.0,4693345
Kitan Crawford,S,122,25,11.8,17.0,0.69,13.6,9.4,-178.0,4430821
Rayuan Lane III,S,123,23,11.5,17.0,0.68,13.6,9.2,-178.2,4880675
Lorenzo Styles Jr.,S,124,24,10.1,17.0,0.59,13.6,8.1,-179.4,4432768
Claudin Cherelus,LB,95,28,41.6,17.0,2.44,12.2,29.9,-180.8,4256224
Jimmy Rolder,LB,96,22,40.4,17.0,2.38,12.2,29.1,-181.5,4896353
Shemar James,LB,97,22,40.3,17.0,2.37,12.2,29.0,-181.7,4685400
Daijahn Anthony,S,125,26,7.2,17.0,0.42,13.6,5.7,-181.7,4874448
JL Skinner,S,126,25,6.8,17.0,0.4,13.6,5.4,-182.0,4428503
JD Bertrand,LB,98,26,38.1,17.0,2.24,12.2,27.4,-183.2,4428872
Kyle Louis,LB,99,22,37.6,17.0,2.21,12.2,27.0,-183.6,4880273
Genesis Smith,S,127,22,4.7,17.0,0.28,13.6,3.8,-183.6,4950551
Christian Rozeboom,LB,81,29,68.3,17.0,4.02,13.9,56.0,-184.0,3909013
Kamari Ramsey,S,128,22,2.3,17.0,0.14,13.6,1.9,-185.5,4685518
Jack Sanborn,LB,100,26,32.8,17.0,1.93,12.2,23.6,-187.0,4372576
Junior Colson,LB,102,24,31.5,17.0,1.85,12.2,22.6,-188.0,4431212
Jaishawn Barham,LB,103,22,31.3,17.0,1.84,12.2,22.5,-188.1,4685266
Shaun Dolac,LB,104,25,31.3,17.0,1.84,12.2,22.6,-188.1,4693848
Winston Reid,LB,105,27,30.9,17.0,1.82,12.2,22.3,-188.4,4251125
Drew Sanders,LB,106,25,29.3,17.0,1.72,12.2,21.1,-189.6,4685721
Red Murdock,LB,108,23,27.8,17.0,1.63,12.2,20.0,-190.7,4912190
James Williams Sr.,LB,109,23,27.0,17.0,1.59,12.2,19.4,-191.2,4431613
Kaleb Elarms-Orr,LB,110,23,25.0,17.0,1.47,12.2,18.0,-192.6,4594321
Isaiah McDuffie,LB,111,27,24.4,17.0,1.43,12.2,17.5,-193.1,4239947
Jeremiah Trotter Jr.,LB,112,24,22.8,17.0,1.34,12.2,16.4,-194.2,4432777
Marcelino McCrary-Ball,LB,113,27,21.8,17.0,1.28,12.2,15.7,-195.0,4045299
Jake Golday,LB,116,23,18.8,17.0,1.11,12.2,13.5,-197.0,4877652
Trey Moore,LB,117,23,18.2,17.0,1.07,12.2,13.1,-197.5,4879212
Channing Tindall,LB,118,26,16.0,17.0,0.94,12.2,11.5,-199.1,4379414
Tommy Eichenberg,LB,122,25,12.4,17.0,0.73,12.2,8.9,-201.7,4429560
Ivan Pace Jr.,LB,123,26,10.5,17.0,0.62,12.2,7.6,-203.0,4430280
Willie Gay Jr.,LB,124,28,8.5,17.0,0.5,12.2,6.1,-204.5,4259804
Jack Kelly,LB,125,23,6.2,17.0,0.37,12.2,4.5,-206.1,4876380
Smael Mondon Jr.,LB,126,23,6.2,17.0,0.36,12.2,4.4,-206.2,4431573
