nombre,pos,rank_pos,edad,pg,eg,total_v2,vbd2,espn_id,p10,p25,p50,p75,p90
John Franklin-Myers,DE,65,30,2.52,13.4,33.7,-20.6,3120464,15.3,23.3,33.9,45.3,58.3
Rachaad White,RB,37,27,10.9,12.8,139.5,-20.7,4697815,32.6,70.9,131.2,203.0,291.2
Eric Stokes,CB,70,27,3.71,13.0,48.4,-20.7,4259561,20.5,34.6,49.1,64.6,82.7
Zeek Biggers,DT,117,23,1.05,10.7,11.2,-20.8,4683276,2.8,6.4,11.3,16.1,21.4
Denzel Ward,CB,71,29,3.69,13.0,48.1,-20.9,3915535,20.6,34.0,48.9,64.8,80.5
DeWayne Carter,DT,105,26,1.36,12.9,17.7,-21.0,4426883,17.5,17.5,17.5,17.5,17.5
Gracen Halton,DT,106,22,1.35,12.9,17.5,-21.2,4685369,17.4,17.4,17.4,17.4,17.4
Chad Ryland,K,32,27,8.14,14.7,119.6,-21.3,4363538,52.3,92.2,125.9,158.0,194.8
Cam Jackson,DT,120,24,1.0,10.7,10.7,-21.3,4687513,2.3,6.0,10.7,15.3,20.6
Ashton Gillotte,DE,66,24,2.46,13.4,32.8,-21.4,4684432,13.9,22.3,33.1,43.7,56.7
Will Harris,S,59,31,4.01,11.3,45.4,-21.4,3915297,13.6,27.3,45.1,63.7,85.8
Josh Uche,DE,81,28,2.09,10.9,22.7,-21.5,4046528,6.7,13.9,23.2,32.6,42.5
Treydan Stukes,S,56,25,4.32,13.6,58.7,-21.5,4697757,58.8,58.8,58.8,58.8,58.8
Joseph Ossai,DE,67,26,2.45,13.4,32.8,-21.6,4362094,14.4,23.1,33.0,43.7,54.7
Clelin Ferrell,DE,83,29,2.07,10.9,22.5,-21.7,3728258,6.2,13.3,22.3,32.3,42.5
John Ridgeway III,DT,108,27,1.29,12.9,16.7,-21.9,4248047,16.6,16.6,16.6,16.6,16.6
Riq Woolen,CB,72,27,3.61,13.0,47.1,-22.0,4245185,19.8,32.8,47.7,62.3,77.5
Jowon Briggs,DT,109,25,1.28,12.9,16.6,-22.1,4426676,6.8,11.5,16.7,22.3,28.9
Jalen Coker,WR,56,25,9.28,10.2,94.5,-22.2,4695883,14.6,37.0,84.1,155.6,248.5
Dennis Gardeck,DE,69,32,2.4,13.4,32.0,-22.2,4334300,13.8,22.5,32.4,42.8,54.5
Frankie Luvu,LB,46,30,5.27,12.2,64.5,-22.3,3127273,17.6,37.1,62.9,95.0,132.7
Domonique Orange,DT,110,22,1.26,12.9,16.3,-22.3,4698728,16.3,16.3,16.3,16.3,16.3
