nombre,pos,rank_pos,proj,baseline,vbd,espn_id,equipo
Cole Bishop,S,19,97.7,99.3,-1.6,4676004,2
Zach Sieler,DT,19,49.1,50.7,-1.6,3057956,15
Montez Sweat,DE,19,67.0,68.7,-1.7,3134690,3
B.J. Hill,DT,20,48.9,50.7,-1.8,3116748,4
Minkah Fitzpatrick,S,20,97.4,99.3,-1.9,3925345,20
Alohi Gilman,S,21,97.4,99.3,-1.9,4039413,12
Ronnie Hickman,S,22,97.2,99.3,-2.1,4569620,5
Nathan Shepherd,DT,21,48.5,50.7,-2.2,4076951,18
Trey Hendrickson,DE,20,66.4,68.7,-2.3,3052743,33
Josh Hines-Allen,DE,21,66.3,68.7,-2.4,3915239,30
Jakobi Meyers,WR,39,192.3,194.8,-2.5,3916433,30
Grady Jarrett,DT,22,48.2,50.7,-2.5,2576492,3
Nate Wiggins,CB,20,87.5,90.2,-2.7,4601278,33
Tyrel Dodson,LB,20,117.6,120.7,-3.1,4035232,15
Greg Rousseau,DE,22,65.6,68.7,-3.1,4362506,2
Mason Graham,DT,23,47.6,50.7,-3.1,4873232,5
Devonte Wyatt,DT,24,47.6,50.7,-3.1,4361791,9
Demario Davis,LB,21,117.5,120.7,-3.2,14958,20
Carlton Davis III,CB,21,87.0,90.2,-3.2,3916923,17
Charlie Smyth,K,18,159.8,163.1,-3.3,5208518,18
Vikings D/ST,DST,19,132.8,136.3,-3.5,-16016,16
49ers D/ST,DST,20,132.7,136.3,-3.6,-16025,25
Kobie Turner,DT,25,46.9,50.7,-3.8,4250621,14
Zack Baun,LB,22,116.8,120.7,-3.9,3917657,21
Tre'von Moehrig,S,23,95.4,99.3,-3.9,4362487,29
Rhamondre Stevenson,RB,28,206.5,210.5,-4.0,4569173,17
Daron Payne,DT,26,46.7,50.7,-4.0,3925354,28
Travis Jones,DT,27,46.7,50.7,-4.0,4362139,33
Jaguars D/ST,DST,21,132.2,136.3,-4.1,-16030,30
Chris Jones,DT,28,46.6,50.7,-4.1,3044859,12
Jaylen Warren,RB,29,206.3,210.5,-4.2,4569987,23
Travon Walker,DE,23,64.5,68.7,-4.2,4426349,30
T'Vondre Sweat,DT,29,46.4,50.7,-4.3,4428617,20
Carl Granderson,DE,24,64.3,68.7,-4.4,3918310,18
Jalen Ramsey,CB,22,85.7,90.2,-4.5,3045373,23
Jonah Laulu,DT,30,46.2,50.7,-4.5,4373956,13
Dominic Zvada,K,19,158.4,163.1,-4.7,5082424,19
Devin Bush,LB,23,116.0,120.7,-4.7,4036261,3
Xavier Watts,S,24,94.5,99.3,-4.8,4431005,1
Zach Allen,DT,31,45.9,50.7,-4.8,3915282,7
Khalil Mack,DE,25,63.5,68.7,-5.2,16710,24
Mike Sainristil,CB,23,84.9,90.2,-5.3,4428414,28
Javon Hargrave,DT,32,45.4,50.7,-5.3,2983055,9
Jessie Bates III,S,25,93.8,99.3,-5.5,3919512,1
Amani Hooker,S,26,93.7,99.3,-5.6,4036134,10
Aaron Jones Sr.,RB,30,204.8,210.5,-5.7,3042519,16
Rico Dowdle,RB,31,204.7,210.5,-5.8,4038815,23
Odafe Oweh,DE,26,62.7,68.7,-6.0,4361422,28
Michael Wilson,WR,40,188.7,194.8,-6.1,4360761,22
Jonathan Allen,DT,33,44.6,50.7,-6.1,3054840,4
Azeez Al-Shaair,LB,24,114.5,120.7,-6.2,3919117,34
Mike Jackson,CB,24,84.0,90.2,-6.2,3917853,29
Teair Tart,DT,34,44.5,50.7,-6.2,4374269,24
Yaya Diaby,DE,27,62.4,68.7,-6.3,4686334,27
Walter Nolen III,DT,35,44.4,50.7,-6.3,4685503,22
Keeanu Benton,DT,36,44.4,50.7,-6.3,4426694,23
Osa Odighizuwa,DT,37,44.3,50.7,-6.4,4035840,25
Harrison Phillips,DT,38,44.3,50.7,-6.4,3117255,20
Saints D/ST,DST,22,129.6,136.3,-6.7,-16018,18
Brandon Stephens,CB,25,83.5,90.2,-6.7,4035824,20
Mack Wilson Sr.,LB,25,113.9,120.7,-6.8,4040983,22
David Bailey,DE,28,61.9,68.7,-6.8,4685248,20
Evan Williams,S,27,92.4,99.3,-6.9,4428863,9
Hunter Henry,TE,18,157.4,164.4,-7.0,3046439,17
DeMarvion Overshown,LB,26,113.6,120.7,-7.1,4362088,6
Brian Thomas Jr.,WR,41,187.5,194.8,-7.3,4432773,30
